Student_ID,Name,Email,Phone_No,signup_date,country,age,gender,account_balance,device_type,region_code,churn_risk,preferred_language,last_login,number_of_logins,subscription_type,referral_source,has_outstanding_tickets,Chemistry Marks,IDA Marks,DM Marks,FSV Marks,IOT,CT,AFM,ITSecurity,Testing,Maths,POS,QIS,Englisch,Deutsch,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,Active Flag
fab47587-aa1a-4d67-9e95-c3de31661905,Gregg Lawrence,katrina25@yahoo.com,+1-847-784-3681x5609,2023-08-22,Egypt,56,Male,96123.85,Mobile,3,Low,French,2024-10-28 06:30:36,11,Basic,Google,FALSE,42.96527487,38.35434706,56.76846435,10.25204846,43.95725006,54.74821077,63,37.93053975,65.7799106,32.41399171,54.93988433,74.8718545,30.19912792,54.23208357,3.536686408,65.2374345,58.07128904,68.94609227,59.41318153,13.41704258,38.17975885,44.31992436,53.32301407,64.83265759,40.1429032,42.29112615,53.04049707,53.20796932,36.01420008,50.10556811,44.01490517,53.94164395,59.95162558,76.39879927,FALSE
9d285e20-0e5b-4760-8d2b-a488d959210e,Andrew Watson,hayers@yahoo.com,001-662-041-9013x572,2022-09-29,Mongolia,69,Male,42410.1,Mobile,3,Low,German,2025-06-11 10:27:25,11,Basic,Friend,FALSE,43.73759053,52.67022369,45.89596836,25.13419166,54.78231571,48.10550107,1,55.66642169,48.42076754,48.62681215,54.72065637,53.2033004,210.0763017,57.10230762,2.942489195,45.1005072,30.55831614,43.62628601,58.53739146,25.00090717,32.41868538,51.3378533,44.2253712,47.78519136,59.67427351,55.95113376,30.47468679,,65.72931958,51.70404113,70.66464383,65.59363338,64.35337032,44.41748866,FALSE
f663fa3b-7bbb-4e64-9746-b488cff33d2f,Brian Sheppard,qtodd@yahoo.com,001-118-296-3111,2024-12-28,French Southern Territories,46,Male,51024.74,Mobile,5,Low,English,2025-03-16 04:22:03,14,Basic,Facebook,FALSE,71.70106385,35.96176513,40.61413153,15.8025808,48.96474964,41.6186355,97,28.44510332,43.3301411,63.73573149,59.98520735,35.93768952,42.35319237,59.69176285,25.72627381,43.22914061,38.59055715,46.18897435,50.68661304,23.88931355,50.42964755,49.49188185,40.89901659,55.73378563,63.41176133,62.65742285,32.86374345,41.25486868,50.72909282,59.72464965,52.83113727,53.72094112,63.39885084,43.10945797,TRUE
e2c98eda-5a3f-4962-9c17-dc82426a1c49,Juan Peterson,masondavid@peters.com,223-504-1075x8288,2024-04-17,Georgia,32,Female,14258.24,Tablet,4,Low,German,2024-08-23 14:04:08,8,Free,Twitter,FALSE,56.67036268,58.24804993,41.13404177,24.82928751,45.519217,72.84783414,59,37.81724703,54.56469107,47.60996506,19.06857967,37.15756348,20.11062226,57.16180759,8.91021033,36.06134252,53.9305144,52.0268527,45.65043409,75.47038323,55.3054456,51.39225096,68.37070528,51.77243219,40.32571579,40.20969867,64.2847852,35.81420107,66.89556711,51.87979729,50.23761698,36.85561965,34.03261746,16.33321117,TRUE
c86fab6c-c93d-4644-8864-1a3ad65e7a72,Michelle Elliott,rodney35@gonzalez-harris.net,746-424-2890x48035,2024-04-30,Norway,60,Male,54878.65,Tablet,3,Low,English,2024-08-06 04:52:11,6,Free,Friend,FALSE,61.51333565,45.43837466,46.18615137,12.09790777,28.73656141,44.42764006,26,63.11718051,36.68751073,50.32885556,61.84643923,36.93999988,85.46152154,49.90852427,12.9451795,53.89508664,43.4622567,35.4023475,63.91299429,67.55717175,47.98223572,57.26673549,48.27728878,748.487186,45.54113726,45.42203181,33.30880531,62.07574712,38.4774377,48.07348997,61.54830288,60.75686896,36.42868881,66.28605167,TRUE
fbb9017b-dd01-433b-9ca2-6a9bed73d877,Sherry Williams,austindavis@gmail.com,594-588-5178,2023-09-11,India,25,Female,14037.82,Desktop,2,Medium,French,2025-05-23 21:55:59,7,Free,Friend,TRUE,34.54624233,66.25622123,55.1317873,98.23978017,63.83711797,63.95902161,64,51.52575491,35.74033868,50.00553715,63.20560387,51.41108722,3.715455103,56.46598702,2.755266859,17.54420051,47.75632093,81.98484173,44.2867027,38.50797547,69.55676668,31.39477483,39.83819471,46.0793115,42.97618993,51.50821192,55.26022466,50.30885371,71.78061403,38.87285494,50.04592895,53.3816949,67.57480357,26.71795532,TRUE
a0392c54-f78d-43d4-978b-36f76045d07e,Vanessa Ewing,bethphelps@yahoo.com,001-155-934-6864x49014,2022-10-08,Nicaragua,38,Male,60927.04,Mobile,4,Low,Spanish,2025-01-28 17:53:29,12,Enterprise,Google,FALSE,53.69651268,60.11686251,47.01909547,19.72531641,78.00804553,49.46109727,28,47.87071534,75.0818321,33.06960774,61.01831646,37.37598076,62.93093665,60.51753792,19.25488794,42.63502825,45.97552061,36.45653086,63.40587816,39.32609775,45.65458876,49.71390747,58.289594,54.41277117,62.40697648,55.32297355,52.8379436,62.1258671,45.8810846,36.32328698,41.51754021,59.7421827,53.30057846,58.72583081,FALSE
22845617-872d-4950-b9f4-6446780fb00b,Michelle Salazar,jessica55@moses-moore.biz,1175412678,2023-01-29,Guinea-Bissau,56,Male,93292.5,Desktop,1,Medium,English,2025-02-04 05:42:36,8,Free,Other,FALSE,62.1556362,33.16909912,42.08705448,17.47842179,43.27190433,35.45324084,93,52.95805432,36.87699104,43.96089081,42.31439849,56.57814701,,27.35112644,13.00124144,65.48562769,48.62758784,40.72126578,50.5601307,25.03252483,49.1487807,69.70810177,53.91996357,42.88016311,37.62507302,72.52104199,55.04053445,54.40526732,31.33312602,45.49908679,55.20609107,81.38670739,47.88539892,77.10024605,TRUE
21c615fc-fcb7-4b8b-a552-62cdfcb53389,Shirley Reed,anthonypotter@yahoo.com,(275)892-8217,2022-08-04,Australia,36,Female,19167.7,Desktop,2,Medium,French,2024-11-07 04:52:30,6,Free,,FALSE,,31.09186999,40.48888387,31.31821705,55.055585,54.71428968,67,62.66847379,44.27907515,46.0994601,43.31468551,,24.86542427,76.52735781,8.968787245,46.95178403,30.63959243,,40.74637834,59.13555096,35.16909693,52.64240644,55.36552644,57.04711913,54.81686596,48.84536272,55.8954121,33.21871191,18.58207809,57.01210129,37.98106077,59.8117663,33.4128489,57.88441927,FALSE
788f2505-e887-46b4-b95f-6f959f189340,Jaime Mills,christina01@hotmail.com,+1-456-795-5013x313,2025-05-29,Uzbekistan,40,Female,76338.65,Mobile,2,Low,English,2025-01-07 09:37:22,15,Premium,Google,FALSE,59.42739292,53.11408853,62.66481362,60.88750933,45.73215302,67.54241191,44,54.31553436,72.93086291,54.55383219,43.433567,41.8733594,19.45815562,53.91174982,29.3446449,548.3788487,51.32712563,52.22773915,58.51910069,24.89772617,54.89973132,52.45726125,26.88239759,58.6466609,36.28060706,50.82185056,30.92574517,31.64212579,37.69013858,28.7525092,42.30489347,49.07278724,62.31264834,79.37506804,FALSE
ef4a018c-65ac-455b-975a-434f55c157ef,Sandra Martinez,browncharles@gmail.com,2847425818,2024-09-09,Taiwan,28,Male,1861.99,Mobile,1,Low,English,2025-04-27 19:43:34,12,Free,Friend,,46.9340372,47.27145826,48.77500469,21.01377097,57.84218012,47.15433912,45,46.12942386,51.63902237,19.26417183,53.85516733,66.0287152,22.58666998,55.74491424,4.796772944,52.21260145,41.91713908,58.40914736,39.28731738,28.39460385,59.40655181,66.72793448,40.9526817,,55.37862347,57.19196324,57.30040294,60.03106815,43.65596035,67.49359254,46.30084987,68.71760217,44.97163361,63.13048008,TRUE
c2180a8b-2af1-489c-a510-6c102508fac5,Derrick Rodriguez,adamssandra@brennan-hall.biz,(488)305-6660x5713,2023-03-06,Armenia,28,Male,37237.47,Tablet,3,Medium,English,2024-10-01 08:11:12,12,Free,Google,FALSE,40.31868813,69.11057316,,14.69761174,50.53922174,45.28456771,13,41.14835226,,72.18899733,38.43201462,40.90600576,13.67436004,57.33063713,32.68245939,50.31089026,44.58967536,45.79733981,40.24051275,84.97010149,34.502356,46.17047077,51.99498971,46.40582467,33.44101614,34.5234849,46.23144024,33.56247171,38.55324869,33.29022594,53.96022833,83.90626177,51.11029562,35.97640826,TRUE
b061bac8-058e-4265-8004-0a6f8163b7c6,Julie Lewis,juliewhitehead@lopez-ortiz.com,001-741-754-1299,2023-01-24,,41,Male,10630.23,Mobile,4,Low,French,2025-01-19 12:24:17,6,Premium,Google,FALSE,65.19787164,55.84800767,49.92255706,48.91909621,64.55210826,50.70519265,2,46.09042749,31.12163873,63.35370905,33.76531788,37.49189347,18.08782777,57.77024979,2.91317758,49.90693462,53.55808297,53.58058565,56.27080183,36.73354639,71.01055712,64.70190995,42.2839053,,59.89845041,52.29018819,61.82553026,60.21012926,78.72742411,32.03466502,52.41673585,62.00392918,41.26575334,33.72010151,TRUE
11dbc6be-f6de-48b1-b054-fb7b9cf00e91,Robert Brown,amanda94@spencer.com,+1-020-642-8636x373,2022-06-07,Ghana,70,Female,34923.78,Mobile,3,Medium,English,2024-07-02 17:57:00,12,Basic,Facebook,FALSE,67.06869691,43.13369816,45.84612612,114.616967,52.93075103,37.78381725,9,39.243264,45.89727064,55.62205739,40.81243821,30.07381214,4.543232675,51.82517581,141.9517281,48.33125353,61.51777387,59.90667441,34.82474735,60.17194366,65.69802271,58.28971475,55.86201651,44.21148352,75.41306436,54.28411369,41.5892234,61.37861231,39.97724063,46.0726297,41.85891192,50.45938526,38.2422147,40.62806132,TRUE
1baf5330-6368-4ab4-aeed-9509e666f06e,Katie Roberts,andrewwhite@miller-rangel.com,001-428-566-4086,2021-08-29,Iceland,53,Female,16940.46,Mobile,3,Low,English,2025-01-25 12:38:13,10,Free,Friend,FALSE,51.93093333,75.22219565,52.04464352,83.16509644,29.50312391,44.23489105,69,49.92304279,50.50542141,47.68685405,63.96039964,93.30130733,16.31106327,24.00929316,19.63577677,49.95390259,73.08470662,59.89566063,52.4560165,62.1786989,72.68483749,57.63748714,45.20343048,40.00361108,68.72177656,43.09023673,78.47207334,54.74929656,32.6087388,27.19658368,53.51029169,23.66246757,79.07492635,50.83646352,TRUE
1cc524cb-368a-40b2-a23e-4353db328010,Kimberly Cook,jacksonlisa@king.net,(488)649-6507,2024-05-02,Jersey,57,Male,37017.15,Desktop,3,Medium,English,2025-06-15 08:08:51,12,Basic,Friend,FALSE,56.76056593,43.56905696,44.32775458,,26.66277984,64.3127515,66,44.09460422,36.4675832,26.95173197,27.57974215,58.1230721,17.75732058,26.91242753,200.2029325,53.67678733,35.71942415,,39.65027065,39.00656795,77.66856634,36.989833,56.42974341,,31.15859268,50.33869601,51.96539752,47.35209929,69.52170497,58.96162317,70.33480414,62.70388571,31.70676478,27.54405856,TRUE
8befac87-f448-4074-8317-565cecda3fda,Elizabeth Manning,ronald71@weiss.com,001-044-922-5966x126,2022-09-10,French Guiana,41,Male,41461.04,Mobile,4,Low,Spanish,2024-08-07 23:11:52,6,Basic,Facebook,FALSE,69.86883615,29.9215502,62.86875827,43.5063721,47.36628043,46.83371729,24,76.27051116,58.59598038,48.4336026,62.66727412,68.62491305,23.6410153,,3.953981825,32.45718227,21.53407,53.62710125,59.03584817,26.3470475,41.57136404,50.96145579,49.31674656,49.36146209,28.77196059,42.65272526,59.51620351,65.58303429,53.39991625,69.69012901,52.55866967,43.65456241,33.28356771,40.67981159,FALSE
895168c1-08c7-463b-a30a-a8a9efb4b9f9,Charles Oconnell,todd23@gmail.com,(302)813-2424x806,2022-01-24,Israel,20,Male,29709.41,Mobile,5,Low,Spanish,,11,Basic,Facebook,FALSE,44.06769412,,48.46608513,18.72561945,26.89852525,36.40613946,89,52.65830659,53.78405122,55.93754651,33.91343751,47.62466238,12.77117959,32.73873575,14.61608191,61.85547424,,25.64120871,51.07146924,33.27622799,48.63486669,60.96468768,46.88085095,47.30219889,65.51556036,51.20766465,65.60377749,62.97972056,62.86685322,42.31628998,39.15595183,37.81884123,48.19332212,90.57216961,TRUE
